"RSTR_FCLTY_NO","YEAR","ARCD","FCLTY_TY","RSTR_NM","DTL_ADRES","AR","USE_PSBL_NMPR","COLR_HOLD_ELEFN","COLR_HOLD_ARCNDTN","CHCK_MATTER_NIGHT_OPN_AT","INPT_TIME","MODF_TIME","RM","RN_DTL_ADRES","CHCK_MATTER_WKEND_HDAY_OPN_AT","MNGDPT_CD","CHCK_MATTER_STAYNG_PSBL_AT","XCORD","YCORD","LO","LA","DTL_POSITION","WKDAY_OPER_BEGIN_TIME","WKDAY_OPER_END_TIME","WKEND_HDAY_OPER_BEGIN_TIME","WKEND_HDAY_OPER_END_TIME","FCLTY_SCLAS"
"쉼터시설번호","년도","지역코드","시설유형 중분류","쉼터명칭","상세주소","면적","이용가능인원","냉방기보유선풍기","냉방기보유에어컨","점검사항야간개방여부","입력시간","수정시간","비고","도로명상세주소","점검사항주말휴일개방여부","관리부서코드","점검사항숙박가능여부","X좌표","Y좌표","경도","위도","위치상세","평일운영시작시간","평일운영종료시간","주말휴일운영시작시간","주말휴일운영종료시간","시설유형 소분류"
"3171000478","2025","3171025600","003","여울목아파트경로당","1307-0","","","2","1","","2025-04-29 16:35:11.000","2025-04-29 16:35:11.000","","울산광역시 울주군 온양읍 솔밭3길 19-10  (여울목아파트)","","","","","","129.2906874","35.4055326","","1000","1800","","","001"
"3171000472","2025","3171025600","003","현대아파트경로당(온양)","543-11","","","2","1","","2025-04-29 14:45:31.000","2025-04-29 14:45:31.000","","울산광역시 울주군 온양읍 남창강변로 102  (현대아파트)","","","","","","129.2848223","35.4117703","","1000","1800","","","001"
"4824000482","2025","4824025000","001","사천읍행정복지센터","126","1062","100","8","1","N","2025-04-29 14:29:02.000","2025-07-21 11:04:40.000","","경상남도 사천시 사천읍 무산로 21","N","","N","","","128.088598","35.087686","","0900","1800","","","001"
"3171000481","2025","3171025600","003","e편한세상아파트경로당","794-0","","","2","1","","2025-04-29 16:42:07.000","2025-04-29 16:42:07.000","","울산광역시 울주군 온양읍 망양길 50  (e편한세상 울산온양)","","","","","","129.2967117","35.4518841","","1000","1800","","","001"
"3171000482","2025","3171025600","003","망양1리경로당","189-4","","","2","1","","2025-04-29 16:43:39.000","2025-04-29 16:43:39.000","","울산광역시 울주군 온양읍 망양1길 6  ","","","","","","129.2951676","35.4509693","","1000","1800","","","001"
"3171000483","2025","3171025600","003","하서경로당","438-6","","","2","1","","2025-04-29 16:45:04.000","2025-04-29 16:45:04.000","","울산광역시 울주군 온양읍 동상로 237  ","","","","","","129.3033287","35.4151047","","1000","1800","","","001"
"3171000484","2025","3171025600","003","망양2리경로당","481-1","","","2","1","","2025-04-29 17:09:12.000","2025-04-29 17:09:12.000","","울산광역시 울주군 온양읍 터실3길 13  ","","","","","","129.2910978","35.456283","","1000","1800","","","001"
"3171000485","2025","3171025600","003","하발경로당","359-4","","","2","1","","2025-04-29 17:12:59.000","2025-04-29 17:12:59.000","","울산광역시 울주군 온양읍 하발2길 11  ","","","","","","129.2993161","35.408089","","1000","1800","","","001"
"3171000486","2025","3171031000","003","무룡경로당","28-15","","","2","1","","2025-04-29 17:15:07.000","2025-04-29 17:15:07.000","서생면 주소지 이지만 온양읍 주민들이 주로 이용","울산광역시 울주군 서생면 무룡골길 253  ","","","","","","129.2733917","35.391636","","1000","1800","","","001"
"3171000480","2025","3171025600","003","온양일동미라주경로당","750-0","","","2","1","","2025-04-29 16:40:18.000","2025-04-29 16:40:18.000","","울산광역시 울주군 온양읍 대안3길 46  (일동미라주더스타)","","","","","","129.2823637","35.4117528","","1000","1800","","","001"
