"RSTR_FCLTY_NO","YEAR","ARCD","FCLTY_TY","RSTR_NM","DTL_ADRES","AR","USE_PSBL_NMPR","COLR_HOLD_ELEFN","COLR_HOLD_ARCNDTN","CHCK_MATTER_NIGHT_OPN_AT","INPT_TIME","MODF_TIME","RM","RN_DTL_ADRES","CHCK_MATTER_WKEND_HDAY_OPN_AT","MNGDPT_CD","CHCK_MATTER_STAYNG_PSBL_AT","XCORD","YCORD","LO","LA","DTL_POSITION","WKDAY_OPER_BEGIN_TIME","WKDAY_OPER_END_TIME","WKEND_HDAY_OPER_BEGIN_TIME","WKEND_HDAY_OPER_END_TIME","FCLTY_SCLAS"
"쉼터시설번호","년도","지역코드","시설유형 중분류","쉼터명칭","상세주소","면적","이용가능인원","냉방기보유선풍기","냉방기보유에어컨","점검사항야간개방여부","입력시간","수정시간","비고","도로명상세주소","점검사항주말휴일개방여부","관리부서코드","점검사항숙박가능여부","X좌표","Y좌표","경도","위도","위치상세","평일운영시작시간","평일운영종료시간","주말휴일운영시작시간","주말휴일운영종료시간","시설유형 소분류"
"47840193","2025","4784037000","003","용암2리경로당","용암리 213-2","100","20","2","1","N","2021-03-16 08:52:48.000","2025-07-14 15:32:06.000","","경상북도 성주군 벽진면 벽봉로  1035","N","5210119","N","","","128.182784","36.020693","","0900","2100","0900","2100","001"
"47840194","2025","4784037000","003","자산1리경로당","자산리 1106","200","20","2","1","N","2021-03-16 08:52:48.000","2025-07-14 15:32:07.000","","경상북도 성주군 벽진면 자산2길  13","N","5210119","N","","","128.221629","35.977761","","0900","2100","0900","2100","001"
"47840195","2025","4784037000","003","자산2리경로당","자산리 497 지산2리회관 지산2리경로당","104","15","2","1","N","2021-03-16 08:52:48.000","2025-07-14 15:32:08.000","","경상북도 성주군 벽진면 자산5길  16 , 지산2리회관 지산2리경로당","N","5210119","N","","","128.209481","35.975575","","0900","2100","0900","2100","001"
"361656","2025","3611055000","003","가락마을16단지경로당","1395","89","22","3","3","","2021-03-15 10:30:13.000","2025-07-14 15:32:52.000","","세종특별자치시 만남로 187 (가락마을16단지 1604동)","N","5690219","","","","127.238176","36.515434","","0900","1800","1300","1700","001"
"361401","2025","3611034000","001","도암1리경로당","239-1","86","21","1","1","N","2021-03-15 10:30:13.000","2025-07-12 18:26:06.000","","세종특별자치시 세종시 금남면 도암1길 2 ","N","5690070","N","","","127.2780946","36.4437169","","0900","1800","0900","1800","004"
"361402","2025","3611034000","001","도암2리경로당","298-8","100","25","2","1","N","2021-03-15 10:30:13.000","2025-07-12 18:26:33.000","","세종특별자치시 세종시 금남면도암영곡길 130","N","5690070","N","","","127.2745058","36.4457017","","0900","1800","0900","1800","004"
"361403","2025","3611034000","001","성덕1리경로당","352-0","135","33","3","2","N","2021-03-15 10:30:13.000","2025-07-12 18:26:51.000","","세종특별자치시 세종시 금남면 성덕2길 27 ","N","5690070","N","","","127.2657806","36.4587696","","0900","1800","0900","1800","004"
"46720147","2025","4672031000","003","오지7구마을회관","오지리 376-2","20","5","2","2","N","2021-03-17 14:16:42.000","2025-07-04 10:24:45.000","","전라남도 곡성군 오곡면 오지당산길  24","N","4860106","N","","","127.315985","35.267962","","0800","2000","0800","2000","001"
"4413704","2025","4413356600","003","불당대원칸타빌경로당","787 불당대원칸타빌 경로당","110","27","0","1","N","2021-03-19 13:58:09.000","2025-07-18 21:02:55.000","","충청남도 천안시 서북구 불당동 불당11로  82 , 불당대원칸타빌 경로당 (불당동)","N","5660024","N","","","127.1162132","36.8041442","","0900","1800","0900","1800","001"
"4413733","2025","4413358000","003","e편한세상두정3차경로당","2063-0","148.6","33","0","3","N","2021-03-19 13:58:09.000","2025-07-16 09:07:50.000","","충청남도 천안시 서북구 북일로 21","N","5660025","N","","","127.1545288","36.8319032","","0900","1800","0900","1800","001"
"4413734","2025","4413358000","003","e편한세상두정4차경로당","401-1","89.25","28","1","1","N","2021-03-19 13:58:09.000","2025-07-16 09:06:03.000","","충청남도 천안시 서북구 두정공단2길 50","N","5660025","N","","","127.1569837","36.8373823","","0900","1800","0900","1800","001"
"4413735","2025","4413359000","001","부성2동행정복지센터","191-3","100","30","1","1","N","2021-03-19 13:58:09.000","2025-04-25 17:56:08.000","","충청남도 천안시 서북구 노태산로 133 (성성동)","N","5660026","N","","","127.1282082","36.8386641","","0900","1800","0900","1800","001"
"26710029","2025","2671025000","003","동암마을회관","148-6","122","30","2","2","N","2021-03-18 21:51:27.000","2025-07-22 08:00:47.000","","부산광역시 기장군 기장읍 동암3길 10","N","3400139","N","","","129.2236528","35.1961355","","0900","1800","0900","1800","001"
"1132000221","2025","1132069000","003","대상타운현대아파트1차경로당","720-1","108","50","2","2","N","2025-04-30 10:01:06.000","2025-07-17 17:41:30.000","","서울특별시 도봉구 마들로 616 (대상타운현대아파트 관리동)","N","","N","","","127.048065","37.664813","","0900","1800","","","001"
"1132000222","2025","1132069000","003","대상타운현대아파트2차경로당","720-1","87","50","2","1","N","2025-04-30 10:02:33.000","2025-07-17 17:42:26.000","","서울특별시 도봉구 마들로 616 (대상타운현대아파트 207동)","N","","N","","","127.049603","37.664876","","0900","1800","","","001"
"1132000223","2025","1132069000","003","이수아파트경로당","713","83","50","2","2","N","2025-04-30 10:05:51.000","2025-07-17 16:49:42.000","","서울특별시 도봉구 도봉로146길 36 (브라운스톤방학아파트 102동)","N","","N","","","127.045006","37.663539","","0900","1800","","","001"
"1132000224","2025","1132069000","003","ESA1단지아파트경로당","718-7","37","30","2","2","N","2025-04-30 10:07:58.000","2025-07-17 16:48:56.000","","서울특별시 도봉구 마들로 657 (이에스에이아파트 101동)","N","","N","","","127.045596","37.668847","","0900","1800","","","001"
"5218000422","2025","5218036000","003","송산마을회관","396-6","66","20","2","1","","2025-04-30 08:55:32.000","2025-05-20 16:13:17.000","","전북특별자치도 정읍시 덕천면 신월송산길 16","","","","","","126.841832","35.633639","","0000","2400","","","001"
"1132000225","2025","1132069000","003","방학동동부센트레빌아파트경로당","689","44","15","0","1","N","2025-04-30 10:09:38.000","2025-07-17 17:45:27.000","","서울특별시 도봉구 방학로 120 (방학동부센트레빌 102동)","N","","N","","","127.038933","37.663979","","0900","1800","","","001"
